	7.500000	0.000000	0.000000
	7.493906	0.302285	0.076974
	7.475633	0.604079	0.153969
	7.445211	0.904892	0.230979
	7.402690	1.204233	0.307998
	7.348139	1.501618	0.385022
	7.281646	1.796562	0.462050
	7.203319	2.088587	0.539080
	7.113286	2.377218	0.616112
	7.011693	2.661985	0.693146
	6.898705	2.942426	0.770183
	6.774506	3.218085	0.847221
	6.639297	3.488515	0.924260
	6.493298	3.753275	1.001300
	6.336748	4.011936	1.078339
	6.169899	4.264077	1.155378
	5.993023	4.509288	1.232416
	5.806408	4.747171	1.309456
	5.610356	4.977339	1.386498
	5.405187	5.199418	1.463545
	5.191234	5.413048	1.540597
	4.968845	5.617881	1.617657
	4.738380	5.813583	1.694723
	4.500215	5.999839	1.771794
	4.254737	6.176343	1.848867
	4.002344	6.342810	1.925938
	3.743447	6.498970	2.003001
	3.478466	6.644567	2.080049
	3.207832	6.779367	2.157078
	2.931985	6.903149	2.234093
	2.651373	7.015712	2.311107
	2.366453	7.116874	2.388148
	2.077686	7.206471	2.465255
	1.785543	7.284356	2.542476
	1.490499	7.350402	2.619874
	1.193032	7.404504	2.697521
	0.893626	7.446572	2.775501
	0.592768	7.476538	2.853908
	0.290947	7.494355	2.932836
	-0.011347	7.499991	3.012372
	-0.313623	7.493440	3.092594
	-0.615389	7.474710	3.173573
	-0.916155	7.443834	3.255369
	-1.215432	7.400860	3.338033
	-1.512734	7.345858	3.421610
	-1.807578	7.278919	3.506133
	-2.099483	7.200151	3.591630
	-2.387977	7.109681	3.678116
	-2.672591	7.007657	3.765603
	-2.952861	6.894245	3.854100
	-3.228332	6.769629	3.943613
	-3.498556	6.634011	4.034150
	-3.763095	6.487612	4.125713
	-4.021519	6.330670	4.218305
	-4.273407	6.163440	4.311927
	-4.518350	5.986193	4.406580
	-4.755950	5.799219	4.502261
	-4.985822	5.602819	4.598968
	-5.207590	5.397314	4.696695
	-5.420896	5.183038	4.795439
	-5.625392	4.960339	4.895193
	-5.820746	4.729579	4.995955
	-6.006641	4.491132	5.097721
	-6.182773	4.245387	5.200486
	-6.348859	3.992743	5.304248
	-6.504626	3.733609	5.409003
	-6.649823	3.468409	5.514749
	-6.784212	3.197571	5.621483
	-6.907577	2.921537	5.729204
	-7.019716	2.640755	5.837909
	-7.120447	2.355682	5.947598
	-7.209606	2.066780	6.058266
	-7.287049	1.774520	6.169913
	-7.352649	1.479376	6.282536
	-7.406300	1.181827	6.396132
	-7.447915	0.882358	6.510698
	-7.477427	0.581455	6.626232
